experiment,dataset,model,condition,metric,numerator,denominator,value,unit,ci95_low,ci95_high,evidence_status,source_file,notes
PairAcc / identifiability,v3,Qwen3.5,CTA:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,CTA:invalidity_policy,preserve_accuracy,26,32,81.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,CTA:invalidity_policy,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,CTA:invalidity_policy,pairacc,26,32,81.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:all,preserve_accuracy,74,80,92.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:all,reevaluate_accuracy,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:all,pairacc,74,80,92.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:changed_winner_core,preserve_accuracy,31,32,96.875,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:changed_winner_core,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:changed_winner_core,pairacc,31,32,96.875,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:invalidity_policy,preserve_accuracy,27,32,84.375,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:invalidity_policy,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,CTA:invalidity_policy,pairacc,27,32,84.375,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:all,preserve_accuracy,78,80,97.5,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:all,reevaluate_accuracy,77,80,96.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:all,pairacc,75,80,93.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:changed_winner_core,preserve_accuracy,30,32,93.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:changed_winner_core,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:changed_winner_core,pairacc,30,32,93.75,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:stable_control,pairacc,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:invalidity_policy,preserve_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:invalidity_policy,reevaluate_accuracy,29,32,90.625,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,Qwen3.5,Lifecycle-free:invalidity_policy,pairacc,29,32,90.625,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:all,preserve_accuracy,77,80,96.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:all,reevaluate_accuracy,80,80,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:all,pairacc,77,80,96.25,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:changed_winner_core,preserve_accuracy,29,32,90.625,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:changed_winner_core,reevaluate_accuracy,32,32,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:changed_winner_core,pairacc,29,32,90.625,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:stable_control,preserve_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
PairAcc / identifiability,v3,GLM-5.1,Lifecycle-free:stable_control,reevaluate_accuracy,16,16,100.0,percent,,,post-primary replication/audit; zero API,matched_pairacc_and_marginals.csv,
