model,controller,tasks,correct_final_state,core_tri_write,fallback_wrong_write,unneeded_reject,strict_core_writes,strict_core_opportunities,stable_writes,stable_opportunities
Qwen3.5,Generic,40,27,8,5,0,8,8,0,4
GLM-5.1,Generic,40,26,6,2,6,6,8,0,4
